Tweet,Target 1,Stance 1,Target 2,Stance 2,Test/Train/Dev
"Sure,Russia is losing territory. They lost 6 villages. Honestly, I'm pretty sure,you have never been to Ukraine. Have a mouth there, not online. They would welcome you,as a potential carer,fighter,driver, anything. Go,Sir,and good luck. Shalom.",Russia,AGAINST,Ukraine,FAVOR,Train
"Ukraine is and has remained a totally different story. The Baltic states to a less degree. If the bluff is called, it will be there. Also, the USSR in 60s and 70s was an order of magnitude more influential and powerful than Russia today in relative terms.",Russia,NONE,Ukraine,NONE,Train
People like this will be jailed if their country reclaim their territory from Russia. (Just one of those without brains) The majority of the world is for Ukraine!!!!,Russia,AGAINST,Ukraine,FAVOR,Train
Russia suffered another day of CRUSHING LOSSES! This is what the numbers look like when Russia counter attacks against the Armed Forces of Ukraine,Russia,AGAINST,Ukraine,FAVOR,Train
"Somehow, I don't remember that during the Maidan in Ukraine, shops or cafes were looted. But in russia recently there was a similar situation where abandoned or closed shops were looted. I'm just drawing parallels regarding the moral education of nations. Nothin else",Russia,AGAINST,Ukraine,FAVOR,Train
Why do ukraine and russia always lie about shooting down drones? With cameras everywhere you can't cover up a drone strike hitting a target.,Russia,AGAINST,Ukraine,AGAINST,Train
"""Russia's War Against Ukraine and its Impact on Europe: Understanding and Acting!"" at the 19th General Meeting of the European Association of Social Psychology. #easp2023krk A talk by @ancaminescu on the importance of psychoeducation to improve support for war refugees.",Russia,NONE,Ukraine,NONE,Train
It's true. Stop acting as if Ukraine is incable of doing anything bad.. There's no reason for Russia to blow znpp if it will get NATO involved. Only Ukraine has the motive,Russia,NONE,Ukraine,AGAINST,Train
"Your issue is that even you can't explain to yourself why Russia is your enemy, but I clearly know that Ukraine isn't my friend I'd like to give money to (despite I have to do it - thanks to my government).",Russia,FAVOR,Ukraine,AGAINST,Train
"Most probably there was more than just ""retrieving"". Dems need to wrap up the war before the election and there is no express victory on the horizon. Russia can continue this for years to come without a victory on any side. Ukraine cannot and Putin counts on this.",Russia,FAVOR,Ukraine,AGAINST,Train
"At the Turin International Book Fair, Wole Soyinka said: ""the same atrocities #Russia is committing in #Ukraine have been committed on the African continent for decades, which contributed to this rise in immigration."" Youssouf Waqqas writes in #AlMajalla",Russia,AGAINST,Ukraine,FAVOR,Train
Hope both Russia and Ukraine reach a peaceful resolution,Russia,NONE,Ukraine,NONE,Train
"Friend, know the U.S. & NATO are with you until Russia leaves Ukraine, entirely. There will be no placating Putin, no accommodation. It is surrender, leave or be destroyed. Slava Ukraini!",Russia,AGAINST,Ukraine,FAVOR,Train
"For every weapon that Bidumb gives Ukraine, China is giving 10 weapons to Russia. This ""war"" is a BLACK HOLE and money laundering scheme for U.S. tax dollars and has to be ended immediately.",Russia,NONE,Ukraine,NONE,Train
"You don't have to spy on a stranger account, as you are an adult man. Go,help in Ukraine, have a mouth there. Russia can win even more slowly...Where should they run? For whom,for you? This war is a demographic punishment for Ukraine, hope you see.",Russia,FAVOR,Ukraine,AGAINST,Train
I'm about to get angry and start programming my own pro-Ukraine twitter against Russia.. #ukraine #russia,Russia,AGAINST,Ukraine,FAVOR,Train
Great show tonight on Ukraine and their ongoing war. YES Australia should be doing more....Much More. We tend to loose interest but what would our reactions be if we were to have twin daughters killed while out having dinner? You tell Me. Russia and Putin have a BIG price to pay.,Russia,AGAINST,Ukraine,FAVOR,Train
"First time I see someone laughing about people being killed in war. Definetely a goat herder who got his first makeshift internet connection. And I see you are embracing Russian sources 100% ""Ukraine is losing the war"". Yes, yesterday Russia destroyed 50 HIMARS, and 100 Abrams.",Russia,AGAINST,Ukraine,NONE,Train
Putin ¡­ Putin ¡­ Putin ¡­ Russia ¡­ Russia ¡­ Russia ¡­ its a distraction to prevent you from seeing all the corruption occurring in the Ukraine. Rich get Richer on the innocent lives of those fighting and dying in the war (on both sides).,Russia,FAVOR,Ukraine,AGAINST,Train
The way you get peace in Ukraine is simple. Russia just needs to feck off back to Russia. That's it. You are welcome.,Russia,AGAINST,Ukraine,FAVOR,Train
Ukraine is responsible for countless Climate Crimes by continuing to conduct an unnecessary war against Russia.,Russia,FAVOR,Ukraine,AGAINST,Train
Ukraine could surrender anytime they choose. They seem to be highly motivated to be free from Russia. They are fighting for their freedom. Russia is fighting to rebuild their empire.,Russia,NONE,Ukraine,NONE,Train
"How do these shows and movies keep predicting the future? Maybe they aren't, maybe they are putting it out there to get peoples reactions. This is precisely what is happening in #France right now. The #FranceRiots look more like a #Warzone than #Ukraine or #Russia",Russia,NONE,Ukraine,NONE,Train
"Ukraine's threatening Russia's security? Are you sure it's not the other way round, given the fact that Russia is invading Ukraine.",Russia,AGAINST,Ukraine,FAVOR,Train
The thing is Russia has most of the favorable positions and aviation and artillery superiority in order to win that positions Ukraine is bleeding not Russia. At least when Russia did it the still had air superiority and artillery superiority. So...you live in a dream.,Russia,FAVOR,Ukraine,AGAINST,Train
Every day Russia is losing 1 million artillery systems according to Ukraine. Russians are already time-traveling to get new ones from the future!,Russia,NONE,Ukraine,AGAINST,Train
"Close your Russian borders and Europe, including Ukraine, will be safe from Nazism. These are the facts. ",Russia,AGAINST,Ukraine,NONE,Train
"Isn't it something, while mueller and democrats were ""investigating"" Trump, and the media was blowing up over Russian collusion. At that same time the Bidens and Democrats were taking payments from Russia, China, Ukraine, and every other place they could extort money from.",Russia,NONE,Ukraine,NONE,Train
In the context of night skin.. Tell the troubled people of Africa that the events of Russia and Ukraine are a game of Europe against Africa after they have stolen the genius of your citizens and the wealth of your land.,Russia,NONE,Ukraine,NONE,Train
Ukraine's Biggest Loss. Russia Destroyed Massive Ukrainian Force In One Area.,Russia,FAVOR,Ukraine,AGAINST,Train
Not even the Ukrainian army is aware that they have taken back so much territory. Russia only occupied 20 percent of Ukraine.,Russia,AGAINST,Ukraine,FAVOR,Train
Attempted voter fraud like trumps fake elector slates or extorting Ukraine for political gain over Biden.,Russia,NONE,Ukraine,NONE,Train
"HOW WILL RUSSIA-UKRAINE WAR END? In several recent books, experts on Russia and Ukraine weigh the importance of the Wagner Group and try to predict how Putin's invasion will play out.",Russia,NONE,Ukraine,NONE,Train
"Our country is the last beacon of freedom in the world. It is being sold out by corrupt evil forces. Pray today for healing of our land and our world. France is falling, Ukraine, the Netherlands, Russia, Germany, England, ...",Russia,NONE,Ukraine,NONE,Train
"No Sir. Check on the map,compare the areas, the Russian took since 1st of January, and the area, Ukraine took back. I dare to believe, Russia took more than only 6 villages..And,Russia has time. They will win, no worries. The lesser they win,the more painful for Ukraine. Go,help.",Russia,FAVOR,Ukraine,AGAINST,Train
"And .....IF ""Russia has absolutely no chance"".....why don?t send the NATO armies to Ukraine right now??? Make the Fuhrer dream real....",Russia,AGAINST,Ukraine,FAVOR,Train
Russia will destroy foreign fighters and Western generals in Ukraine ¨C Lavrov ¡ª RT Russia & Former Soviet Union,Russia,FAVOR,Ukraine,AGAINST,Train
"Finland joined in April 2023, while the ratification process for Sweden is ongoing. Ukraine applied for NATO membership in September 2022 after Russia proclaimed the annexation of its territory Other states Bosnia ,Herzegovina and Georgia have formally shown interest. GO RUSSIA",Russia,NONE,Ukraine,NONE,Train
"certainly, that why Ukraine overextended itself in an ecxpedition into Southern russia, totally not the other way arround",Russia,AGAINST,Ukraine,FAVOR,Train
"Arming Ukraine is a cynical and dangerous NATO ploy, RT reporter tells UNSC ¡ª RT Russia & Former Soviet Union",Russia,NONE,Ukraine,NONE,Train
The war between you is none of our business. I'm tired of both russia and ukraine. Go and fight in your own country.,Russia,AGAINST,Ukraine,AGAINST,Train
"When you think of it all, you find out that Putin is a gentleman. Leaving all in the hand of Medvedev, Russia would have taken back Ukraine from the occupants. Hope Putin will be on sabbatical leave and allow Medvedev, it will be a new story in favor of Russia",Russia,FAVOR,Ukraine,AGAINST,Train
Ukraine's Zelenskyy appears to confirm loss of Bakhmut to Russia #Russia #Ukraine,Russia,FAVOR,Ukraine,AGAINST,Train
"Don't be tweeting this rubbish it doesn't make any sense, how did Russia #Ukraine #war affected price of kenkey? Are you people well at all?",Russia,NONE,Ukraine,NONE,Train
"Russia produces many fake videos with the aim of reducing western support for Ukraine. Example: Ukrainians shooting a carload of civilians. The video was fake - the car turned out to be Russian, filming location geolocated to an occupied area of Donetsk.",Russia,AGAINST,Ukraine,FAVOR,Train
Russia and Ukraine the same s..t people,Russia,FAVOR,Ukraine,FAVOR,Train
"Advancing? Where? They can't even controll the bridge in kherson, what are u talking about man? Russia will win or is winning? U said that Russia is winning, now that it will win. Ukraine took more m2 of territory in this month than Russia in all winter and spring, but no worry",Russia,AGAINST,Ukraine,FAVOR,Train
Ukraine is just as corrupt as Russia¡­prove me wrong!,Russia,AGAINST,Ukraine,AGAINST,Train
"You think the media, big tech, FBI/DOJ lying and hiding material on Biden and leaking/attacking Trump had no effect??? The FBI had the laptop since Dec 2019!!! The whole Russia Collusion HOAX! The BS Jan 6 committee ignoring obvious people involved!!! BS impeachments!!! Ukraine?",Russia,NONE,Ukraine,NONE,Train
"Ukraine border is red line. Untill russia violated it, nobody will speak with them",Russia,AGAINST,Ukraine,FAVOR,Train
Hahahahahah ajeeiii list three most important commodities we import from Ukraine and Russia??,Russia,NONE,Ukraine,NONE,Train
The loss of Bakhmut would be a huge political/morale blow to the russia after their staggering losses trying to take it. This is why Ukraine is pressing ahead with their counter-offensive to drain russia of their reserves as they try to avoid a devastating defeat.,Russia,NONE,Ukraine,NONE,Train
"Nice! It's a pity that you don't bother to make all of Russia look like this, instead of invading other countries! Leave Ukraine!",Russia,AGAINST,Ukraine,FAVOR,Train
The best move from Ukraine side remains the surreptitious bombing of Zaporizhzhya & creating a nuclear fall out. It will bring EU to its knees & allow NATO to enter & create a WorldWar3 attack against Russia which Zelensky feels is the best way to save Ukraine. Smart Ukrainians!,Russia,NONE,Ukraine,FAVOR,Train
"Why is he right? There is zero chance that Russia would attack a NATO country after what's happened in Ukraine. Russia will continue its cyber, misinformation, destabilization campaigns regardless of the outcome in Ukraine.",Russia,FAVOR,Ukraine,AGAINST,Train
Des soldats ukrainiens se moquent des armes russes... Des armes datant de la Premi¨¨re ou Seconde Guerre mondiale !!!! #Ukraine #Russie #Russia ,Russia,AGAINST,Ukraine,FAVOR,Train
John Mearsheimer is now on Substack. His take on Ukraine and Russia is essential reading. This paper examines the likely trajectory of the Ukraine war moving forward.,Russia,NONE,Ukraine,NONE,Train
"Russia will take all territory that they have made Russia including Crimea, Donetsk, Kherson, Luhansk, Zaporizhzhia & any other territory that is later deemed Russia from this point on. Either Ukraine negotiates an end to the war now, or Russia may eventually take Odessa.",Russia,FAVOR,Ukraine,AGAINST,Train
Add to this other German decisions that have favoured Russia . Like blocking Ukraine from NATO that paved the way for the 2014 Russian invasion of Crimea,Russia,FAVOR,Ukraine,AGAINST,Train
Ukraine's fight to be FREE from Russky oppression and corruption is a shining light to the world. Russia and China need to realise they do not have the right to oppress anyone they want. The Russian nation is a criminal nation and is declining in population and influence.,Russia,AGAINST,Ukraine,FAVOR,Train
Looks like RUSSIA vs UKRAINE to ME ! It's ALL the SAME WHITE on WHITE CRIME !,Russia,AGAINST,Ukraine,AGAINST,Train
"Enough is enough! #NATO countries must provide #Ukraine with the means to strike the launching sites of missiles and drones spreading destruction and death across Ukraine. Russia will only stop at the edge of defeat. The sooner will get there, the better for everyone.",Russia,AGAINST,Ukraine,FAVOR,Train
"history is written by people who are in different positions, I try to draw conclusions about what I see and I try to argue my predictions and I believethe war will end with a part of the current Ukraine returning to Poland and Russia consolidating its positions. It's my opinion",Russia,FAVOR,Ukraine,AGAINST,Train
"If Russia were so strong, there would be a thousand cannons and hundreds of missiles attacking Ukraine everyday.",Russia,NONE,Ukraine,NONE,Train
"People always tell me to ""relax"", ""take a break"", ""it will be better for you in the long run"".... But when there is quiet, there is also noise. Even when there is quiet, there is no freedom from #Russia and the genocide that is happening in #Ukraine. ",Russia,NONE,Ukraine,NONE,Train
"Ukraine took more ground in the last few weeks than Russia took in the last year, so you're just completely wrong.",Russia,AGAINST,Ukraine,FAVOR,Train
Russia will liberate Ukraine just like before! Victory is close! 4th Reich will fall.,Russia,FAVOR,Ukraine,AGAINST,Train
"How could one think that he would not? Russia views NATO-Ukraine as an existential thread and in the case of a defeat, Russias existence as great state is at stake.",Russia,NONE,Ukraine,NONE,Train
The East will help the West And for Trump its over War in Ukraine will end soon But there will be Russia 2.0,Russia,FAVOR,Ukraine,AGAINST,Train
Lone Ukrainian soldier takes out multiple Russians in trenches near Bakhmut's 'Road of Life',Russia,AGAINST,Ukraine,FAVOR,Train
Critical Bakhmut Statement from Ukrainian President Zelensky: ''The Situation is Complicated'' #Russia #Ukraine,Russia,NONE,Ukraine,NONE,Train
"However. I believe the West (""civilized world"") should provide the conventional weapons that Ukraine needs to defeat Russia within the bounds of The Law of Land Warfare. Period. Cluster munitions would be a game changer. Anti-personnel mines are less important.",Russia,AGAINST,Ukraine,FAVOR,Train
Americans in Ukraine are welterweights with hands and arms tied fighting the lightweight that is Russia.,Russia,AGAINST,Ukraine,NONE,Train
"As a Black American who lives in the Bronx, how does Russia taking over Ukraine effect me?",Russia,NONE,Ukraine,NONE,Train
"''Again it has been the nature of man everywhere in the world to fight and conquer lands. Look at Ukraine right now'' Newsflash: We life in 2023 not in 1723. russia fascist war of greed and looting has similarities with the white men coming to our native land to steal,murder.",Russia,AGAINST,Ukraine,FAVOR,Train
"Biden's policies have cost every American a lot of money. Ukraine, Afghanistan, France is burning, middle east, china, Russia, the whole world is on edge due to his lack of leadership, now Merrick Garland will be impeached for covering up Biden corruption. Biden is a failure",Russia,NONE,Ukraine,NONE,Train
"If Putin and Russia will apologise, the Ukraine war will be over! Is there anybody in Russia who is able to apologise? Or any Russian abroad? Do you have seen anybody? Any unassuming, non-violent Russian all over the world?",Russia,AGAINST,Ukraine,NONE,Train
"I think the war started in the early 90's when Rothschild associate George Soros set up his Open Society ""foundations"" in Russia and Ukraine, after which he backed pro-EU & anti-Russia politicians like Yulia Tymoshenko and sponsored ""color revolutions"" to take over the country.",Russia,NONE,Ukraine,NONE,Train
"Shut up Biden you should be more concerned about our country not student loans. How about telling us about your deals with China, Ukraine and Russia because your green deal is all about you bill for one .",Russia,AGAINST,Ukraine,AGAINST,Train
"You ignore the multicultural societies that are prosperous, and ignore the more homogeneous societies that are not doing so good(Greece) , to advance a narrative. the US is more ethnically diverse than Russia or Ukraine, and yet the latter two countries are not so great now.",Russia,AGAINST,Ukraine,AGAINST,Train
Let's all go to Ukraine! Free Ukraine from Russia!,Russia,AGAINST,Ukraine,FAVOR,Train
Have you been paying attention to the news lately? Russia doing exactly that in Ukraine,Russia,AGAINST,Ukraine,NONE,Train
"You lose credibility with ""genocidal"" here. And by pretending that Ukraine can defeat Russia. The longer this war continues, the more Ukrainians will die. #peace",Russia,FAVOR,Ukraine,AGAINST,Train
"Thank you Russia for consistently defeating the Nazis. Today, the US itself has become a Nazi state with its foreign policy of reviving Nazism in Ukraine once again.",Russia,FAVOR,Ukraine,AGAINST,Train
"Bill Gates now supplies the fries for McDonald's, Putin actually cares about his citizens and doesn't want to fucking kill them like the rest of the world. Actual nazis in Ukraine and shit even WSJ had to admit Ukrainian soldiers have nazi pins. Seems Russia are the good guys now",Russia,FAVOR,Ukraine,AGAINST,Train
They tried to burn #Russia but wasn't successful. What's happening in #FranceRiots will happen in both #UK & #US just before #US elections. The land of the #AngloSaxons (war mongers) will implode. #FranceHasFallen #UkraineWar #RussiaUkraineWar #Ukraine,Russia,FAVOR,Ukraine,AGAINST,Train
"You wanted to make Ukraine a platform for America to threaten Russia - well , 'you calls the tune you pays the piper'.",Russia,NONE,Ukraine,NONE,Train
"Useless city? It's why Zelenskij sacrificed so many of his fighters, for a useles city? Goof to know. And stay in present, release past. Russia is the one,advancing now. Ukraine offensive took 6 villages since 4th of June,at terrible cost. Russia will win. Unless you go,and help.",Russia,FAVOR,Ukraine,AGAINST,Train
"If Julia isn't correct, why didn't Putin go to Ukraine when the war started in February 2014??? Or even earlier??? Reality check the war in didn't start when Russia sent its troops in last year!",Russia,FAVOR,Ukraine,NONE,Train
"I don't understand this argument. Russia's threat to NATO countries is in their disinformation, destabilization, cyber, etc. campaigns. Those are independent of Russia's outcome in Ukraine. What am I missing?",Russia,NONE,Ukraine,NONE,Train
"I'm sorry, I like what some of what he says about America, but on Russia he needs to go to Ukraine and then make comments.",Russia,AGAINST,Ukraine,FAVOR,Train
"You made good points about Russia's state but the same applies to Ukraine too. Let's face it, without foreign aid the AFU is finished and the US is the biggest provider. A change in policy and there goes Ukraines supply The rest of Europe can't bankroll this war on their own",Russia,AGAINST,Ukraine,AGAINST,Train
We don't have much choice. Russia invaded Ukraine and Ukraine need help. Russia won't just stop their war if asked.,Russia,AGAINST,Ukraine,FAVOR,Train
Will it be the same as the result of the Fuel sanctions against Russia. The US will supply Europe at much higher prices and close down more industry.? Are we represented by total fools. Surely they have learned their lesson with Ukraine.?,Russia,NONE,Ukraine,NONE,Train
Right Russia might be planning to evacuate as well at this rate when will Ukraine take back all their land and ev3n if they do how will they keep it,Russia,NONE,Ukraine,NONE,Train
"Do you support warmongering nazi-terrorist state russia's genocidal war of aggression in independent, peaceful ukraine?",Russia,AGAINST,Ukraine,FAVOR,Train
Ukraine is weakening russia for the west. They dont want this till end until russia is totally weakened,Russia,NONE,Ukraine,NONE,Train
"Picture without source link. Very suspicious. Do you support warmongering nazi-terrorist state russia's genocidal war of aggression in independent, peaceful ukraine?",Russia,AGAINST,Ukraine,FAVOR,Train
"Winning too slowly? Ahahahahaha man, sure, Ukraine counteroffensive has failed and Russia is winning by retreating kherson, not getting kharkiv or kyiv and taking 10 months to get a useless city that is gonna fall soon, such a win",Russia,FAVOR,Ukraine,AGAINST,Train
You liars. You know you put Russian soldiers into Ukraine to destabilise the country. Why should anyone believe a word you say? And the feeble worm that leads you looks weaker every day.,Russia,AGAINST,Ukraine,FAVOR,Train
What threat was Ukraine to Russia? It was the US who put their puppets in Ukraine to aggravate you and you fell for it. Do you really have to go for every bait the US puts every damn time?,Russia,AGAINST,Ukraine,NONE,Train
"History is right perhaps, but let us not forget, it was written by the victors. You need only to look at Ukraine. If Russia would win, people living there would forever be taught that brave Russians saved Ukraine from Nazi government and evil NATO influence.",Russia,NONE,Ukraine,NONE,Train
There was going to be a famine in third world countries until Russia and Ukraine agreed to keep exporting the grain despite the war. So clearly you do still need us,Russia,FAVOR,Ukraine,FAVOR,Train
about 1-2% of their GDP but keep in mind none of these were live wars like Ukraine vs Russia also keep in mind US economy is largely service based so it can't be as sturdy as the Russian economy which is based on resources and primary sector based mostly.,Russia,FAVOR,Ukraine,NONE,Train
There is no need for Ukraine to be in Nato. It is too corrupt to be there sadly. Russia will not attack again after this ugly war. Russia will have riots + civil war to deal with. Problem is that Ukrainians will do terrorist activities in Russia for revenge. Nato can't allow it.,Russia,NONE,Ukraine,AGAINST,Train
Russian kamikaze drones are major headache for Ukraine ¨C Telegraph ¡ª RT Russia & Former Soviet Union,Russia,FAVOR,Ukraine,AGAINST,Train
Russia claims full control of Bakhmut in eastern Ukraine | Al Jazeera Newsfeed #Russia #Ukraine,Russia,FAVOR,Ukraine,AGAINST,Train
Ukraine also has a vested interest in killing the Wagner boss - to destabilize Russia. We'll see what happens.,Russia,AGAINST,Ukraine,FAVOR,Train
"Coming from a Russian Nazi supporter! I rather support democratic countries like Ukraine and not Nazis, the way Russia is today, with a fuhrer putin and a waffen SS Wagner!",Russia,FAVOR,Ukraine,AGAINST,Train
"Russia won't leave by themselves, that's pretty obvious. The division of the country was caused by Russia invading twice. Joining the EU and NATO is overwhelmingly popular in Ukraine, and once the war is over it's the only way to prevent Russia from invading in the future.",Russia,AGAINST,Ukraine,FAVOR,Train
"Henry Kissinger: ""To be an enemy of America [example: Putin's Russia] can be dangerous, but to be a friend [example: Zelensky's Ukraine] is fatal.""",Russia,AGAINST,Ukraine,AGAINST,Train
"1. What does NATO expansion have to do with Russia's war crimes? 2. Yes, in 2012 pro-Russian the Party of Regions had the largest share of votes in the East. Today people of Eastern Ukraine are the ones hating Russia most passionately.",Russia,AGAINST,Ukraine,FAVOR,Train
Russia wouldn't blow it up USA/Ukraine might regardless of consequences,Russia,NONE,Ukraine,AGAINST,Train
"When Russia stole cities in Ukraine last year they often put in officials, gave new passports to cits, took down public signs & tried to give the cities a Russian identity. Sorry... won't work!",Russia,AGAINST,Ukraine,FAVOR,Train
"West tortures and kills several 100,000's innocent every year for more ego, control, power, and greed. They're very proud and glorify that behavior 24/7. Ukraine Russia is one open example: More killed in secret.",Russia,NONE,Ukraine,NONE,Train
By fighting a civil war? Russia has the right to invade Ukraine because it was fighting a civil war?,Russia,AGAINST,Ukraine,FAVOR,Train
"Thanks for your ¡ìTUP1D1TY but we are talking about how Russia is stomping the Nazis in Ukraine you admire and why they deserve it because of the choices they made, ya creepy little",Russia,FAVOR,Ukraine,AGAINST,Train
Russia invaded Ukraine. Or you think it's all made up?,Russia,AGAINST,Ukraine,FAVOR,Train
"I mean, yes, this is politics. In a perfect world, every politician would be sincere, but in a perfect world Russia would not invade Ukraine. Given the flaws of the world, I'm happy enough with any politician who is willing to give money and weapons to Ukraine.",Russia,AGAINST,Ukraine,FAVOR,Train
Russia got completely btfo when trying to denazify Ukraine dawg,Russia,FAVOR,Ukraine,AGAINST,Train
If left alone Ukraine & Russia had a peace deal that we now know was deliberately torpedoed by the British prime minister. These Brits somehow think they r morally superior when they have been committing a conveyor belt of invasions & mass murder over the last 3 decades.,Russia,NONE,Ukraine,NONE,Train
"So you saying that Russia should have nuked Ukraine? Explain this genius¡­ what then would Russia do with a wasteland? You think nuke today, grow veggies there tomorrow? Chernobyl and Hiroshima ring a bell??",Russia,NONE,Ukraine,NONE,Train
Putin really u r the joke of the century u have done more damage to Russia than Hitler ever did u can't defeat Ukraine with all your tanks planes bombs take a clue nobody wants to fight for u grab some money and flee before u get a bullet in the head u will go down inhistoryafool,Russia,AGAINST,Ukraine,NONE,Train
Such bullshit Russia has no reason to use Nuclear weapons! UKRAINE has already fallen!,Russia,FAVOR,Ukraine,AGAINST,Train
"As for the reality of this war: Everyone could fucking live without it, Russia starting it when everyone could've lived without it was a stupid & gayshit idea, but in 2014: CIA-backed coup occurred in Ukraine. Not wanting to be part of the new government, the Eastern regions of",Russia,NONE,Ukraine,NONE,Train
What narcolust says is correct plus security guarantees for Ukraine and Russia.,Russia,NONE,Ukraine,NONE,Train
Ukraine didn't feel the need to. Especially when Russia was claiming that it was Ukrainians who wanted that which isn't true.,Russia,AGAINST,Ukraine,FAVOR,Train
Russia has completely fallen into the Atlantic. Possible nuclear accident. Ukraine now has beachfront property available in the north.,Russia,AGAINST,Ukraine,FAVOR,Train
"According to the 2001 census, only 29.59% of people in Ukraine spoke russian. A little more than half of them were ethnic russians. Since then, the number of russian-speaking people has decreased significantly. The main reason for this was russia's military invasion of Ukraine",Russia,NONE,Ukraine,NONE,Train
"Um, Russia is winning. It's not even close. A friend who is in Ukraine reached out and told me it was only a matter of time. Our money is not going to help them. It's being diverted to the WEF. Millions of us know the truth!",Russia,FAVOR,Ukraine,AGAINST,Train
He should be talking about all the money that that piece of crap Joe Biden took from China and Russia and Ukraine. The Democrats are terrified of Trump.,Russia,NONE,Ukraine,NONE,Train
"Putin, however, likely has not been briefed on the possibility of domestic infighting.However, Russia has also been exhausted by sanctions and fighting in the war in Ukraine, so it will probably sit at the negotiation table.",Russia,AGAINST,Ukraine,NONE,Train
I can seem misplacing even 100 bucks. But NOT 6.2 billion dollars. This was used for US to be with Ukraine behind a coup in Russia. Funny how a day or two later THAT HAPPENED. MERCENARIES HIRED BY WHO? With what? Was Soros in this too? You bet!,Russia,NONE,Ukraine,NONE,Train
"Russia seems to feel that ceasefire talks are pointless at this point. Because the terms of Ukraine are unacceptable to Russia. However, Russia is still exposed to the danger of internal strife, and the decision of President Putin seems to be the key to the ceasefire negotiations",Russia,NONE,Ukraine,NONE,Train
"I can tell you don't understand population genetics kid, Southern Russia and Ukraine are like genetically exactly the same and fit into white cluster and have 99-100% white ancestry",Russia,NONE,Ukraine,NONE,Train
That's exactly what I'm thinking! They're mostly middle eastern and African who are rooting. Russia has allies there. France has recently shown support for Ukraine. There's definitely a link.,Russia,NONE,Ukraine,NONE,Train
There is 2 facts for you. 1. Ukraine is Russia (thanks to USA) 2. Go home,Russia,FAVOR,Ukraine,AGAINST,Train
"Interesting potential. So, if Ukraine is fighting rebels, that mean Russia has the right to invade?",Russia,FAVOR,Ukraine,AGAINST,Train
Russia will never conquer Ukraine. But when Ukraine joins the EU and NATO endless waves of third world migrants will.,Russia,AGAINST,Ukraine,NONE,Train
Russia acknowledges retreat around parts of Bakhmut #Russia #Ukraine,Russia,NONE,Ukraine,NONE,Train
"Macgregor will be proven right: Ukraine always had a zero percent chance of defeating Russia on the bettlefield, which is why the west issued sanctions (why use soft power that badly hurts the west if Ukraine could defeat them militarily?). Cope and seethe more!",Russia,FAVOR,Ukraine,AGAINST,Train
"Crimea literally voted to be in Ukraine in 1991. Nice try. How does we want autonomy shift to ""We want to be in Russia, heavily settled by Russians, and directly connected to Russia"" I wonder",Russia,FAVOR,Ukraine,AGAINST,Train
Fund Col to be credible - if he says that Russia will destroy Ukraine quickly - it was clear that he meant they possess the capability to do so but strategy is unpredictable. You sometimes go too far with your insults - never understood it,Russia,AGAINST,Ukraine,FAVOR,Train
I absolutely think Russia would deprive their citizens of water. Have you paid attention to their history whatsoever? Ukraine doesn't have to cross above the reservoir and the water draining isn't any immediate threat to ZNPP.,Russia,AGAINST,Ukraine,FAVOR,Train
Russia invaded an independent country Ukraine.,Russia,AGAINST,Ukraine,FAVOR,Train
"You blame the US for Russia's idiotic decision to invade Ukraine, as if Putin and his dudes have no free will. Fascinating. RU is getting it's ass handed to it, in a war it started, but someone else is to blame. 1/3",Russia,AGAINST,Ukraine,NONE,Train
"Why is he currently residing in Russia? Why did he back out of the EU deal to go for a Russian deal? Denial denial denial, its kinda cute. Let me guess, Ukraine was an actual democracy under Yanukovych when he tried to make protesting illegal too right ?",Russia,FAVOR,Ukraine,AGAINST,Train
Dude are you literate? The page clearly says that they were first used on the Russia/Ukraine steppe and that they spread it to the Hittites and the rest of that region,Russia,AGAINST,Ukraine,NONE,Train
Duhhh¡­.it just makes sense to not have elections during wartime ! How the hell are they going to vote or where ? Everyone in Ukraine are at war with Russia!!,Russia,NONE,Ukraine,NONE,Train
"Really? joe biden stole classified documents when he wasn't president. Do you care about that? Or the pay for play with ukraine, russia, and china. Do you care about that? How about the granddaughter they abandoned?",Russia,AGAINST,Ukraine,AGAINST,Train
"I'm sorry don't know what you mean by this. If you want my take, I'll give it. We're giving billions to the Ukraine because we want to maintain current world order, not allow Russia to become the Soviet Union again, which is Putin's goal. (Hang on, More coming)",Russia,AGAINST,Ukraine,AGAINST,Train
This means Ukraine is about to blow up their nuke plant and blame it on Russia. Just like their dam and the rocket they shot at Poland.,Russia,FAVOR,Ukraine,AGAINST,Train
"HAHAHA! Wow Maybe you should educate yourself. The stuff on joe is not made up... it's literally the other way around. Pay for play with china, russia, and ukraine, tax evasion, illegal drug use, illegal gun, underage hookers, epstein island, and this list goes on",Russia,NONE,Ukraine,NONE,Train
I can't wait until Russia finally runs home with its tail between its legs and the Marshall Plan kicks in and they clear the mines from the tourist places because before I die I want to party in Ukraine.,Russia,AGAINST,Ukraine,FAVOR,Train
So you would want Ukraine to give up their land to appease Russia?,Russia,AGAINST,Ukraine,FAVOR,Train
"Smells like cope to me after being proven wrong. ""n0t reALly a HUge loSS""",Russia,NONE,Ukraine,NONE,Train
"Outside of useful Russian simps, no one believes Ukraine blew up their dam. Ignoring that only Russia had the means to do it.",Russia,AGAINST,Ukraine,FAVOR,Train
